title,year,budget,length,rating,votes
Auto Focus,2002,7000000,105,6,3059
Autumn in New York,2000,40000000,103,4,3506
Avalon,2001,8000000,106,6,2507
Avanti popolo,1986,60000,84,8,49
Babe,1995,30000000,89,7,16380
Baby Boy,2001,16000000,130,6,1391
Baby Face,1933,187000,71,6,239
Bad Boy Bubby,1993,750000,112,7,977
Badkonake sefid,1995,150000,85,7,605
Badlands,1973,500000,95,7,4479
Bamboozled,2000,10000000,135,6,2209
Bandits,2001,80000000,123,6,11628
Barbary Coast,1935,778000,91,6,150
Barbershop,2002,12000000,102,6,4558
Barcelona,1994,3200000,101,6,1511
Barry Lyndon,1975,11000000,184,8,11303
Barton Fink,1991,9000000,116,7,9629
Basic,2003,50000000,98,6,7614
Batoru rowaiaru,2000,4500000,114,7,10765
Battle for the Planet of the Apes,1973,1800000,93,4,2216
Battle of Britain,1969,12000000,133,6,1557
Beat the Devil,1953,1000000,100,6,971
Beat the Drum,2003,1500000,114,7,13
Beautiful,2000,9000000,112,5,949
Beccerra,2002,3000,30,7,14
Becket,1964,3000000,148,7,1483
Becky Sharp,1935,950000,84,6,94
Before Sunrise,1995,2500000,105,7,8042
Before Sunset,2004,10000000,80,8,6302
Behind Enemy Lines,2001,40000000,106,6,10071
Behold a Pale Horse,1964,3900000,118,6,101
Being Human,1993,30000000,122,4,932
Being John Malkovich,1999,13000000,112,7,52086
Belly,1998,10000000,96,4,956
Beloved,1998,53000000,172,5,1855
Beneath the Planet of the Apes,1970,3000000,95,5,3420
Best Laid Plans,1999,7000000,92,6,1722
Better Luck Tomorrow,2002,250000,101,7,2519
Beyond Borders,2003,35000000,127,5,1641
Beyond Rangoon,1995,23000000,100,6,1236
Beyond the Sea,2004,24000000,121,6,727
Beyond the Valley of the Dolls,1970,900000,109,5,1499
Bicentennial Man,1999,100000000,132,6,8274
Big Bully,1996,15000000,90,4,735
Big Fish,2003,70000000,125,8,27696
Big Jim McLain,1952,826000,90,4,253
Big Wednesday,1978,11000000,120,6,759
Billy Elliot,2000,5000000,110,7,15976
Billy Jack,1971,800000,114,5,939
Bird,1988,9000000,161,7,1140
Birth,2004,20000000,100,6,1290
Birthday Girl,2001,13000000,93,6,4964
Black and White,1999,10000000,98,5,1613
Black Gold,1947,450000,90,5,16
Black Hawk Down,2001,90000000,144,7,30414
Black Legion,1937,235000,83,6,204
Black Rain,1989,14000000,125,6,5335
Blade Runner,1982,28000000,117,8,71455
Blanche Fury,1947,1500000,90,6,66
Blast from the Past,1999,35000000,112,6,9003
Blind Husbands,1919,125000,68,7,73
Blood and Wine,1996,26000000,101,6,2006
Blood Money,1933,238591,65,7,20
Blotter,2004,15000,20,7,7
Blow,2001,30000000,124,7,17160
Blowup,1966,1800000,111,7,3842
Blue Crush,2002,30000000,104,5,4469
Blue Hill Avenue,2001,1200000,120,6,71
Blue Moon,1998,1000,90,7,22
Blue Velvet,1986,6000000,120,7,17633
Bogus,1996,32000000,110,5,935
Boiler Room,2000,9000000,118,6,8101
Bombshell,1933,344000,96,7,264
Bonnie and Clyde,1967,2500000,111,7,12135
Boogie Nights,1997,15000000,152,7,25977
Boom,1968,10000000,113,3,154
Boom Town,1940,2000000,119,6,285
Born on the Fourth of July,1989,14000000,145,7,10780
Born to Be Bad,1934,252238,61,5,36
Bounce,2000,35000000,106,5,5169
Bound by Honor,1993,35000000,180,7,2278
Bowling for Columbine,2002,4000000,120,8,34321
Boxcar Bertha,1972,600000,92,5,512
Boys and Girls,2000,16000000,94,4,3309
Boys Beware,1961,1000,10,5,14
Boys on the Side,1995,21000000,115,6,2653
Boyz n the Hood,1991,6000000,107,7,9708
Braveheart,1995,72000000,177,8,87585
Break Up,1998,9000000,100,5,382
Bride of Frankenstein,1935,397000,75,8,4566
Brigham City,2001,1000000,119,6,393
Bring Me the Head of Alfredo Garcia,1974,1500000,112,7,974
Bringing Out the Dead,1999,32000000,121,6,13310
Broadway Bad,1933,239308,61,5,8
Broken Blossoms,1919,88000,90,7,741
Broken Lullaby,1932,889154,76,7,63
Broken Vessels,1998,600000,90,5,218
Brown Sugar,2002,8000000,109,5,874
Bruno,2000,10000000,108,5,282
Bubble Boy,2001,13000000,84,5,2702
Buena onda,1999,2000,11,6,8
Buffalo Soldiers,2001,15000000,98,7,3342
Bugsy,1991,40000000,134,6,3961
Bull Durham,1988,7000000,108,7,8067
Bulletproof,1988,5000000,93,3,150
Bullitt,1968,5500000,113,7,5770
Bulworth,1998,30000000,108,6,7992
Bumer,2003,700000,110,6,229
Cabaret,1972,6000000,124,7,6727
Cabiria,1914,210000,162,7,198
Cafe Society,1995,3500000,104,5,135
Caged Heat,1974,180000,83,5,286
Calendar Girl,1993,13000000,90,4,423
Call Her Savage,1932,489652,89,6,84
Camelot,1967,17000000,179,6,1162
Camille,1936,1486000,109,7,631
Candyman,1992,8000000,99,6,4458
Cape Fear,1991,35000000,128,7,14646
Cape of Good Hope,2004,3000000,107,9,11
Capricorn One,1978,5000000,123,6,2460
Captain from Castile,1947,4500000,140,6,164
Captains Courageous,1937,1645000,115,7,1082
Carlos contra el mundo,2002,1000000,91,5,15
Carmen Jones,1954,750000,105,6,494
Carrie,1976,1800000,98,7,11066
Casablanca,1942,950000,102,8,63449
Casino,1995,52000000,178,7,25612
Casshern,2004,6000000,141,6,785
Cast Away,2000,90000000,143,7,32584
Casualties of War,1989,22500000,113,6,4184
Cat on a Hot Tin Roof,1958,3000000,108,7,4608
Catch Me If You Can,1989,800000,106,4,90
Catch Me If You Can,2002,52000000,141,7,36703
Cavalcade,1933,1180280,110,6,294
Central Airport,1933,356000,72,5,33
Central do Brasil,1998,2900000,113,7,8698
Chain Reaction,1996,55000000,106,5,5610
Chance,2002,150000,80,8,406
Changing Habits,1997,1200000,95,5,131
Changing Lanes,2002,45000000,99,6,12021
Chariots of Fire,1981,5500000,123,7,6278
Charlie,2004,5000000,95,4,124
Charlie Chan in The Chinese Cat,1944,75000,65,6,87
Charlotte Sometimes,2002,80000,85,4,528
Charly,2002,950000,103,5,141
Chasing Amy,1997,250000,111,7,30768
Cheaper by the Dozen,2003,40000000,98,5,5304
Cherish,2002,1500000,99,6,672
Chicago,2002,45000000,113,7,32516
Children On Their Birthdays,2002,10000000,102,6,145
Chinatown,1974,6000000,131,8,24352
Christopher Strong,1933,284000,78,6,146
Ciao America,2002,5000000,100,4,26
Cidade de Deus,2002,3300000,130,8,22199
Cimarron,1931,1433000,131,6,292
Circus World,1964,9000000,135,5,197
Citizen Kane,1941,686033,119,8,58856
Citizen Ruth,1996,3000000,102,6,1328
City by the Sea,2002,60000000,108,6,4532
City Hall,1996,40000000,111,6,4129
City Lights,1931,1500000,87,8,7438
City of Angels,1998,55000000,114,6,14576
City of Hope,1991,3000000,129,7,621
Civil Brand,2002,500000,95,3,94
Claire of the Moon,1992,130000,107,3,202
Clay Pigeons,1998,8000000,104,6,2507
Clear and Present Danger,1994,65000000,141,6,12470
Cleopatra,1917,500000,125,9,22
Cleopatra,1963,44000000,192,6,2456
Clockers,1995,25000000,128,6,2900
Close Encounters of the Third Kind,1977,20000000,135,7,25249
Coil,2001,12000,79,7,11
Cold Mountain,2003,83000000,152,7,13960
Color of Night,1994,40000000,121,4,4389
Combat Shock,1986,40000,85,5,227
Command Decision,1948,3700000,112,7,249
Commandments,1997,5000000,88,5,452
Committed,2000,3000000,98,5,700
Condemned,1929,600000,86,5,37
Confessions of a Dangerous Mind,2002,29000000,113,7,10435
Confessions of a Nazi Spy,1939,1500000,104,6,126
Confidence,2003,15000000,97,6,5619
Conquest,1937,2732000,113,6,155
Conspiracy Theory,1997,75000000,135,6,14684
Contact,1997,90000000,153,7,35063
Cool as Ice,1991,6000000,100,2,1249
Cop Land,1997,15000000,104,6,11972
Copycat,1995,20000000,123,6,7471
Coquette,1929,489106,76,4,82
Cotton Mary,1999,3500000,124,5,149
Courage Under Fire,1996,46000000,117,6,8515
Coyote Ugly,2000,45000000,100,5,12480
CQ,2001,7000000,88,6,1235
Cradle Will Rock,1999,32000000,132,6,3226
Crazy in Alabama,1999,15000000,111,6,1992
Crimes and Misdemeanors,1989,19000000,107,7,6956
Crimson Tide,1995,53000000,116,7,13394
Crisis,1950,1616455,95,6,181
Critical Care,1997,12000000,107,5,373
Crocodile Dundee in Los Angeles,2001,25000000,92,4,2544
Crooklyn,1994,14000000,115,6,1051
Cross of Iron,1977,6000000,133,7,2389
Crossfire,1947,250000,86,7,556
Crossroads,2002,12000000,93,3,8011
Cruel Intentions,1999,11000000,97,6,24091
Curly Sue,1991,30000000,101,4,1965
Daisy Miller,1974,2000000,91,5,160
Damaged Lives,1933,10000,61,4,12
Dances with Wolves,1990,19000000,180,7,27158
Dancing in September,2000,850000,107,6,156
Dangerous Liaisons,1988,14000000,119,7,12071
Dangerous Money,1946,75000,66,5,27
Dark Alibi,1946,75000,61,6,26
Dark Blue,2002,15000000,118,6,3505
Dark Manhattan,1937,24900,70,4,11
Darklands,1997,750000,90,3,100
Daughter of the Sun,1962,11000,60,1,8
David Searching,1997,22500,101,7,33
Dawn of the Dead,1978,1500000,126,7,11652
Dawn of the Dead,2004,28000000,100,7,14107
Day of the Dead,1985,3500000,102,6,4593
Daylight,1996,80000000,115,5,6559
Days of Thunder,1990,60000000,107,5,9182
Dead End,1937,900000,93,7,696
Dead Man Walking,1995,11000000,122,7,15493
Dead Poets Society,1989,16400000,128,7,41508
Dead Presidents,1995,15000000,119,6,2470
Dead Ringer,1964,1200000,115,6,403
Deadly Harvest,1977,250000,87,5,32
Decay,1998,15000,80,6,8
Deep Impact,1998,75000000,120,5,21661
Delayed,2002,20000,103,2,15
Deliverance,1972,2000000,109,7,13716
Demetrius and the Gladiators,1954,4500000,101,6,351
Denial,1998,5000000,93,5,270
Dersu Uzala,1975,4000000,141,8,2375
Desert Hearts,1985,350000,96,6,585
Desperate Characters,1971,400000,87,5,39
Desperately Seeking Susan,1985,4500000,104,5,4678
Deterrence,1999,800000,101,6,754
Detour,1945,30000,67,7,1045
Deuces Wild,2002,10000000,96,5,1431
Devil Dogs of the Air,1935,350000,85,5,40
Die xue jie tou,1990,3500000,136,7,1695
Dillinger,1945,193000,70,6,92
Diner,1982,5000000,110,7,3313
Dinner at Eight,1933,435000,113,7,936
Dirty Pretty Things,2002,10000000,97,7,5570
Do the Right Thing,1989,6500000,120,7,8742
Doctor Zhivago,1965,11000000,197,7,9774
Domestic Disturbance,2001,53000000,89,5,4165
Dominion,1995,1300000,95,5,84
Don Juan DeMarco,1995,25000000,97,6,6384
Dong er shi er tiao,1997,2000,14,3,10
Donnie Brasco,1997,35000000,127,7,18470
Donnie Darko,2001,4500000,133,8,45652
Double Indemnity,1944,927262,107,8,11051
Double Jeopardy,1999,40000000,105,5,12939
Down by Law,1986,1100000,107,7,4209
Down Time,2001,20000,90,6,50
Down to You,2000,9000000,91,4,3087
Dracula,1992,40000000,128,7,18750
Dragnet,1954,500000,88,6,109
Dragonfly,2002,60000000,104,5,5060
Dragonwyck,1946,1900000,103,6,201
Dragstrip Girl,1957,100000,69,4,14
Dream with the Fishes,1997,1000000,97,6,605
Drive Me Crazy,1999,8000000,91,5,2789
Driven,2001,72000000,116,4,6701
Driving Miss Daisy,1989,7500000,99,7,8185
Drop Back Ten,2000,600000,93,4,27
Drop Squad,1994,2000000,86,3,143
Drugstore Cowboy,1989,2500000,100,7,4793
Drumline,2002,20000000,118,5,6735
Duel in the Sun,1946,8000000,138,7,778
Duets,2000,15000000,112,5,2313
Dumbo,1941,950000,64,7,6266
Earthquake,1974,7000000,123,5,1994
East of Hope Street,1998,100000,88,5,12
Easy Rider,1969,340000,94,7,9527
Eban and Charley,2000,30000,86,4,96
Ed Wood,1994,18000000,127,8,22090
Edge of Eternity,1959,700000,80,5,43
Edward Scissorhands,1990,20000000,105,7,24869
Ehad Mishelanu,1989,500000,110,7,29
Eight Men Out,1988,6000000,119,7,3486
El Cid,1961,8000000,182,7,1331
Elephant,2003,3000000,81,7,8057
Elizabeth,1998,25000000,124,7,14150
Elmer Gantry,1960,3000000,146,7,1681
Empire,2002,3500000,90,5,1603
Empire of the Sun,1987,38000000,154,7,9318
Enemy at the Gates,2001,70000000,131,7,17853
Enemy of the State,1998,90000000,131,7,21975
Enough,2002,38000000,115,4,4026
Eraser,1996,100000000,115,5,13915
Eraserhead,1977,10000,89,7,6710
Erin Brockovich,2000,51000000,130,7,23091
Escape from the Planet of the Apes,1971,2500000,98,5,2812
Eskimo,1933,950000,117,6,27
Eternal Sunshine of the Spotless Mind,2004,20000000,108,8,36913
Eulogy,2004,10000000,91,7,197
Evelyn,2002,10000000,94,7,1039
Even Cowgirls Get the Blues,1993,8000000,101,4,1524
EvenHand,2002,500000,92,7,145
Ever After,1998,26000000,121,7,9759
Ever in My Heart,1933,243000,68,5,33
Evergon,2002,20000,32,7,21
Everything Put Together,2000,500000,87,7,138
Evita,1996,55000000,134,6,8057
Exodus,1960,4000000,208,6,1061
Expiration,2003,50000,102,6,198
Exquisite Corpse,2004,3500,60,8,16
Eye for an Eye,1996,20000000,101,5,1755
Eyes Wide Shut,1999,65000000,159,7,35862
Faces,1968,275000,130,7,697
Fair Game,1995,50000000,91,3,2442
Fair Wind to Java,1953,1250000,92,5,41
Faithless,1932,203420,77,6,38
Fall,1997,1000000,93,5,470
Falling Words,1997,8000,19,8,8
Fando y Lis,1967,100000,93,6,197
Far and Away,1992,30000000,140,6,8045
Far from Heaven,2002,13500000,107,7,8597
Fargo,1996,7000000,98,8,62467
Fast Food High,2003,4500000,92,5,17
Fatal Attraction,1987,14000000,123,6,8126
Fear and Desire,1953,20000,68,6,201
Fear and Loathing in Las Vegas,1998,18500000,118,7,19548
Fear of the Dark,2001,30000,150,5,8
Female,1933,286000,60,6,111
Festen,1998,1300000,105,8,11431
Fiddler on the Roof,1971,9000000,181,7,5601
Fight Club,1999,63000000,139,8,105247
Fighting Coast Guard,1951,532111,86,6,14
Fighting Mad,1976,600000,90,5,54
Final,2001,80000,111,4,300
Final Destination,2000,23000000,98,6,15567
Final Solution,2001,1500000,110,7,30
Finding Forrester,2000,43000000,136,7,12778
Finding Graceland,1998,10000000,97,6,489
First Blood,1982,14000000,97,6,11059
First Knight,1995,75000000,134,5,8278
Fish in a Barrel,2001,200000,85,5,56
Fiza,2000,1000000,170,7,119
Flawless,1999,27000000,112,6,3101
Flesh,1968,4000,105,5,267
Follow Me Home,1996,220000,100,7,48
Foolish Wives,1922,1100000,117,7,183
For Love of the Game,1999,50000000,137,6,5515
For Me and My Gal,1942,802000,104,6,299
For Whom the Bell Tolls,1943,3000000,170,7,1002
Forbidden Planet,1956,1900000,98,7,6447
Forced March,1989,2700000,104,4,16
Foreign Correspondents,1999,500000,102,7,113
Forever Amber,1947,6000000,138,6,139
Forrest Gump,1994,55000000,142,8,85292
Four Rooms,1995,4000000,98,6,9991
Four Weddings and a Funeral,1994,6000000,117,7,16981
Frailty,2001,11000000,100,7,9820
Francis,1950,150000,91,6,150
Frankenstein,1931,291000,71,7,5650
Frankenstein,1994,45000000,123,6,6505
Freaks,1932,310607,64,7,3854
Freaky Friday,2003,26000000,97,7,7323
Freeway,1996,3000000,110,6,4725
Frequency,2000,31000000,118,7,14556
Freud,1962,4000000,139,6,187
Frida,2002,12000000,123,7,7984
Friday,1995,3500000,91,6,6610
Frisco Jenny,1932,286000,73,6,35
Fritz the Cat,1972,1000000,78,5,1046
From Here to Eternity,1953,1650000,118,7,5692
From Russia with Love,1963,2000000,115,7,9752
Fukkatsu no hi,1980,16000000,155,5,129
Full Frontal,2002,2000000,101,5,2879
Full Metal Jacket,1987,30000000,116,8,45023
Funny Girl,1968,14100000,151,7,1668
Gandhi,1982,22000000,188,8,14989
Gangs of New York,2002,97000000,166,7,32075
Gangster Story,1960,75000,65,4,21
Garden State,2004,2500000,109,8,17799
Gattaca,1997,36000000,101,7,24454
Gerry,2002,3500000,103,5,1751
Get Carter,2000,40000000,102,4,4611
Get on the Bus,1996,2400000,120,6,1081
Get Over It,2001,10000000,87,5,3350
Get Shorty,1995,30250000,105,7,13469
Gettysburg,1993,25000000,261,7,4940
Ghost,1990,22000000,128,6,18039
Ghost World,2000,7000000,111,7,16926
Ghosts of Mississippi,1996,36000000,130,6,2143
Giant,1956,5400000,201,7,3976
Gladiator,2000,103000000,155,8,87106
Glitter,2001,22000000,104,2,5649
Gloria,1999,30000000,108,4,1094
Glory,1989,18000000,122,8,20894
Gods and Generals,2003,56000000,231,5,2796
Gods and Monsters,1998,3500000,105,7,8693
Gojira,1954,1000000,98,6,1022
Gone with the Wind,1939,3900000,238,8,27414
Good to Go,1986,1500000,90,3,15
Good Will Hunting,1997,10000000,126,7,58247
Goodfellas,1990,25000000,145,8,63911
Gosford Park,2001,15000000,137,7,15857
Gossip,1953,1000,10,4,5
Grace of My Heart,1996,5000000,116,6,941
Grand Hotel,1932,700000,112,7,1676
Grand Prix,1966,9000000,179,6,917
Gravesend,1997,65000,85,4,108
Grimm,2003,3700000,103,6,165
Groove,2000,1500000,86,6,1125
Guerra de Canudos,1997,6000000,170,7,122
Guinevere,1999,2600000,104,6,769
Guncrazy,1992,800000,97,5,406
Gypsy,1962,4000000,143,7,637
Hair,1979,11000000,121,6,4019
Hairspray,1988,2000000,92,6,2627
Hamlet,1996,18000000,242,7,9715
Hanging Up,2000,40000000,94,4,2984
Hannah and Her Sisters,1986,6400000,103,7,7229
Happiness,1998,3000000,134,7,11140
Hard Ball,2001,21000000,106,6,2866
Hard Feelings,1982,4000000,105,6,7
Hard Rain,1998,70000000,97,5,5819
Harold and Maude,1971,1200000,91,7,8730
Harper,1966,3500000,121,7,606
Harriet the Spy,1996,13000000,100,5,781
Harvard Man,2001,5500000,99,4,1074
Hawaii,1966,15000000,189,6,417
He Got Game,1998,25000000,136,6,3894
Hearts in Atlantis,2001,31000000,101,6,6217
Heat,1995,60000000,171,7,41462
Heat and Sunlight,1987,90000,98,4,17
Heaven,2002,11000000,96,7,3577
Heavenly Creatures,1994,5000000,99,7,10881
Hedwig and the Angry Inch,2001,6000000,95,7,5754
Hell Is for Heroes,1962,2500000,90,7,571
Hell to Eternity,1960,800000,131,6,113
Henry V,1989,9000000,137,7,7971
Here on Earth,2000,15000000,96,4,2078
Hero,1992,42000000,117,6,4458
Heroes for Sale,1933,290000,76,6,62
Hidalgo,2004,78000000,136,6,6388
Hidden Assassin,1995,11000000,104,4,234
Hideous Kinky,1998,12000000,98,6,1533
High Crimes,2002,42000000,115,6,5672
High Fidelity,2000,20000000,113,7,28218
High Sierra,1941,455000,100,7,1526
His People,1925,93000,93,6,6
Hold Your Man,1933,260000,87,6,148
Holes,2003,30000000,117,7,4833
Hollywood Cavalcade,1939,2000000,97,6,39
Hollywood Ending,2002,16000000,112,6,3415
Holy Man,1998,60000000,114,4,3297
Home Fries,1998,15000000,91,4,2275
Honey,2003,17000000,94,3,2684
Hope Floats,1998,30000000,114,5,4206
Hopscotch,2004,1000,7,9,5
How Green Was My Valley,1941,1250000,118,7,2513
How Stella Got Her Groove Back,1998,20000000,124,5,1389
How the Grinch Stole Christmas,2000,123000000,104,5,11910
How the West Was Won,1962,14000000,162,6,1901
Hsi yen,1993,1000000,106,7,2225
Hud,1963,2500000,112,7,2312
Hukkle,2002,100000,75,6,399
Hungry Wives,1973,120000,130,4,186
Hurricane,1997,500000,86,6,408
Husbands,1970,1000000,154,6,349
Husbands and Wives,1992,20000000,108,7,3422
I Am Sam,2001,22000000,132,7,9029
I Capture the Castle,2003,8000000,113,6,869
I Dreamed of Africa,2000,34000000,114,5,1067
Identity,2003,30000000,90,7,17126
Igby Goes Down,2002,9000000,97,7,7396
Imitation of Life,1959,2000000,125,7,1358
Impostor,2002,40000000,95,5,3067
In Cold Blood,1967,3500000,134,8,2271
In Old Chicago,1937,1800000,96,7,138
In the Bedroom,2001,1700000,130,7,9765
In the French Style,1963,750000,105,5,9
In the Heat of the Night,1967,2000000,109,8,6405
In the Line of Fire,1993,40000000,128,7,12348
In the Shadows,2001,10000000,105,4,259
In This World,2002,1900000,88,7,715
In Too Deep,1999,7000000,95,5,931
Indecent Proposal,1993,38000000,117,5,6995
Inferno,1980,3000000,107,6,1146
Innocent,2001,25000,16,7,8
Inside Daisy Clover,1965,4500000,128,6,323
Insomnia,2002,46000000,118,7,20800
Inspiration,1931,438000,74,5,64
Instinct,1999,55000000,126,6,5985
Interiors,1978,10000000,93,7,1611
Intermission,2003,5000000,105,6,1608
Interview with the Assassin,2002,750000,88,6,385
Invasion USA,1952,127000,73,3,117
Invisible Stripes,1939,500000,81,6,105
Ish HaHashmal,2003,900000,90,4,6
Island in the Sky,1953,967000,109,5,92
Island in the Sun,1957,2250000,119,5,94
Jack,1996,45000000,113,5,4881
Jack Frost,1998,50000000,101,4,1998
Jackie Brown,1997,12000000,151,7,26856
Jackpot,2001,400000,97,4,202
Jade,1995,50000000,95,4,2279
Jakob the Liar,1999,15000000,120,5,2388
Jeepers Creepers,2001,10000000,90,5,10321
Jefferson in Paris,1995,14000000,139,5,633
Jerry and Tom,1998,5000000,106,6,426
Jerry Maguire,1996,50000000,138,7,33020
Jersey Girl,2004,35000000,102,6,5598
Jesus,1979,6000000,117,5,298
Jet Attack,1958,100000,68,3,32
Jezebel,1938,1250000,104,7,1081
JFK,1991,40000000,189,7,25660
Jimmy Hollywood,1994,20000000,112,5,705
Jing wu men,1972,100000,110,6,1508
Jizda,1994,30000,90,7,189
Joe Somebody,2001,38000000,98,5,1810
John Q,2002,36000000,116,6,8216
Joy,1983,2000000,102,5,48
Judgment,2001,11000000,105,4,99
Judgment at Nuremberg,1961,3000000,186,8,3183
Jungle Fever,1991,14000000,132,6,2662
Kafka,1991,11000000,98,6,1655
Kagemusha,1980,6000000,179,7,3205
Kansas City,1996,19000000,116,5,1021
Karakter,1997,4500000,122,7,2561
Keeping the Faith,2000,30000000,128,6,10780
Khwaab,2004,75000,90,8,5
Kicked in the Head,1997,4000000,87,4,255
Kids,1995,1500000,91,6,8524
Kill Me Again,1989,4000000,94,6,618
King Arthur,2004,90000000,126,5,11683
King of the Hill,1993,8000000,109,7,1187
King of the Mountain,1981,2000000,90,3,47
Kinsey,2004,11000000,118,7,1872
Kiss of the Dragon,2001,25000000,98,6,7467
Kiss the Girls,1997,27000000,111,6,8572
Kruimeltje,1999,5000000,119,6,215
Krush Groove,1985,3000000,97,5,244
Kundun,1997,28000000,128,7,4105
Lady and the Tramp,1955,4000000,75,7,6620
Lashou shentan,1992,4500000,126,7,6195
Last Breeze of Summer,1991,60000,30,7,5
Last Man Standing,1996,67000000,101,5,6330
Last Orders,2001,12000000,109,7,1457
Lawn Dogs,1997,8000000,101,7,1760
Lawrence of Arabia,1962,15000000,216,8,30562
Laws of Gravity,1992,38000,100,6,267
Leather Jacket Love Story,1997,67000,85,6,103
Leaving Las Vegas,1995,4000000,111,7,17186
Legends of the Fall,1994,30000000,133,6,12467
Less Like Me,2004,30000,112,9,5
Levity,2003,7500000,100,6,1288
Leylasede,1995,700000,100,6,29
Lianna,1983,300000,110,6,241
Libera me,2000,4000000,119,6,54
Liberata Me,2002,66000,27,7,14
Liberty Stands Still,2002,11000000,92,5,1406
Life,1999,75000000,108,5,4464
Life as a House,2001,18000000,125,7,7220
Light in the Piazza,1962,553280,102,6,148
Light It Up,1999,13000000,99,5,805
Light Sleeper,1992,5000000,103,6,703
Lightning Over Water,1980,700000,91,6,118
Lights of New York,1928,75000,57,5,57
Lilies of the Field,1963,240000,94,7,1302
Limbo,1999,8300000,126,7,1997
Little Boy Lost,1978,395000,90,4,16
Little Odessa,1994,2300000,98,6,1165
Little Secrets,2001,2500000,96,6,420
Little Women,1933,424000,117,7,933
Living In Missouri,2001,10000,90,8,14
Living Out Loud,1998,12000000,100,6,1710
Lolita,1962,2000000,152,7,8594
Lolita,1997,58000000,137,6,5440
Lone Star,1996,5000000,135,7,8289
Lone Wolf McQuade,1983,5000000,105,5,674
Lorna,1964,60000,78,5,126
Loser,1996,38000,85,7,69
Losing Isaiah,1995,17000000,111,6,724
Lost Boundaries,1949,250000,99,6,14
Lost Highway,1997,15000000,135,7,15017
Lost Horizon,1937,2000000,132,7,1989
Lost Horizon,1973,12000000,150,4,405
Lost in Translation,2003,4000000,102,8,37968
Louisiana Story,1948,258000,78,7,135
Love in the Afternoon,1957,2100000,130,7,1042
Love Liza,2002,1000000,90,6,1461
Love Story,1970,2200000,99,6,2671
Lover Girl,1997,1000000,87,5,95
Lucky Lady,1975,13000000,118,4,216
Macon County Line,1974,225000,89,6,121
Mad City,1997,50000000,114,6,3700
Mad Max,1979,350000,93,6,10861
Madadayo,1993,11900000,134,7,504
Made,2001,5000000,94,6,4240
Madness and Genius,2003,19000,103,6,18
