title,year,budget,length,rating,votes
Escanaba in da Moonlight,2001,1000000,91,5,360
Escape from Chernobourg,1999,2000,75,3,18
Eternal Sunshine of the Spotless Mind,2004,20000000,108,8,36913
Eulogy,2004,10000000,91,7,197
EuroTrip,2004,25000000,90,6,6645
Even Cowgirls Get the Blues,1993,8000000,101,4,1524
Ever After,1998,26000000,121,7,9759
Evergon,2002,20000,32,7,21
Everyone Says I Love You,1996,20000000,101,6,7028
Evil Dead II,1987,3000000,85,7,14773
Evolution,2001,80000000,101,5,13251
Exquisite Corpse,2004,3500,60,8,16
Fair Game,1995,50000000,91,3,2442
Faithful,1996,13000000,91,5,397
Fake ID,2003,100000,86,3,34
Family Plot,1976,3000000,121,6,2074
Fast Food High,2003,4500000,92,5,17
Fast Times at Ridgemont High,1982,4500000,90,7,9794
Father of the Bride Part II,1995,30000000,106,5,3840
Fear and Loathing in Las Vegas,1998,18500000,118,7,19548
Feet First,1930,647000,93,6,71
Female,1933,286000,60,6,111
Female Trouble,1974,25000,89,7,818
Fever Pitch,2001,25000,27,4,34
Fish in a Barrel,2001,200000,85,5,56
Flawless,1999,27000000,112,6,3101
Flirting with Disaster,1996,7000000,92,7,3783
Flying Down to Rio,1933,462000,89,6,365
Follow the Fleet,1936,747000,110,7,338
Footlight Parade,1933,703000,104,7,363
Forrest Gump,1994,55000000,142,8,85292
Four Dead Batteries,2004,77000,96,8,18
Four Rooms,1995,4000000,98,6,9991
Four Weddings and a Funeral,1994,6000000,117,7,16981
Francis,1950,150000,91,6,150
Frankenhooker,1990,2500000,85,4,486
Frankie and Johnny,1966,4500000,87,5,188
Freaked,1993,11000000,86,5,845
Freaky Friday,2003,26000000,97,7,7323
Freddy Got Fingered,2001,15000000,87,3,8555
Free Money,1998,30000000,91,4,577
Frei parken,1998,2000,7,5,7
Freud and Darwin Sitting in a Tree,2000,17000,27,8,9
Friday,1995,3500000,91,6,6610
Friday After Next,2002,20000000,85,4,1496
Fright Night,1985,9000000,106,6,3402
Fritz the Cat,1972,1000000,78,5,1046
From Dusk Till Dawn,1996,20000000,108,6,26857
From Justin to Kelly,2003,12000000,81,1,6626
Full Frontal,2002,2000000,101,5,2879
Fun with Dick and Jane,1977,3000000,95,6,478
Funny Face,1957,3000000,103,7,1550
Funny Girl,1968,14100000,151,7,1668
Galaxy Quest,1999,45000000,102,7,21131
Garage Days,2002,6000000,105,5,519
Garden State,2004,2500000,109,8,17799
Garfield,2004,50000000,80,4,4022
Gentlemen Prefer Blondes,1928,352000,75,7,13
George of the Jungle,1997,55000000,92,5,6075
Get a Job,1998,750000,93,2,20
Get Over It,2001,10000000,87,5,3350
Get Shorty,1995,30250000,105,7,13469
Ghost Busters,1984,30000000,107,7,28243
Ghost World,2000,7000000,111,7,16926
Ghoulies,1985,1000000,82,3,564
Gigi,1958,3319355,119,7,1835
Gigli,2003,54000000,121,2,11233
Ginger Snaps,2000,5000000,108,6,3606
Girl Crazy,1943,1140850,99,6,172
Girl Missing,1933,107000,69,6,31
Go,1999,6500000,103,7,19828
Goat on Fire and Smiling Fish,1999,40000,90,6,248
Gold Raiders,1951,50000,56,5,16
Good Burger,1997,9000000,103,4,1541
Good News,1947,1662718,93,7,199
Gosford Park,2001,15000000,137,7,15857
Grace of My Heart,1996,5000000,116,6,941
Grand Slam,1933,164000,67,5,41
Grand Theft Auto,1977,602000,84,5,239
Grease,1978,6000000,110,6,21077
Green Fields,1937,8000,99,6,25
Greetings,1968,39000,88,5,305
Gremlins,1984,11000000,106,6,14245
Grimm,2003,3700000,103,6,165
Grosse Pointe Blank,1997,15000000,107,7,19562
Grumpier Old Men,1995,25000000,101,6,3515
Gun Shy,2000,10000000,101,5,1609
Guys and Dolls,1955,5500000,150,7,1853
Gypsy,1962,4000000,143,7,637
Hair,1979,11000000,121,6,4019
Hairspray,1988,2000000,92,6,2627
Hanging Up,2000,40000000,94,4,2984
Hannah and Her Sisters,1986,6400000,103,7,7229
Happiness,1998,3000000,134,7,11140
Happy Gilmore,1996,10000000,92,6,16664
Hard to Handle,1933,189000,78,6,57
Harold and Maude,1971,1200000,91,7,8730
Harriet the Spy,1996,13000000,100,5,781
Hav Plenty,1997,650000,92,5,246
Head,1968,750000,86,6,1079
Head Over Heels,2001,14000000,86,4,2491
Heartbeeps,1981,10000000,79,4,224
Heartbreakers,2001,40000000,123,6,7563
Hedwig and the Angry Inch,2001,6000000,95,7,5754
Held Up,1999,8000000,89,4,520
Hellboy,2004,66000000,122,6,13424
Her Urge,2000,20000,15,5,10
Hercules,1997,70000000,92,6,4946
Here Comes the Groom,1951,2117000,113,5,106
Hero,1992,42000000,117,6,4458
High Anxiety,1977,3400000,94,6,2430
High Fidelity,2000,20000000,113,7,28218
High Strung,1994,300000,93,6,365
Highway to Hell,1992,9000000,94,5,390
Hit and Runway,1999,1200000,108,6,179
Hocus Pocus,1993,28000000,96,5,3036
Hold That Ghost,1941,190000,86,7,367
Holes,2003,30000000,117,7,4833
Holiday Inn,1942,3200000,100,7,1083
Hollywood Boulevard,1976,60000,83,4,107
Hollywood Chainsaw Hookers,1988,23000,75,4,225
Hollywood Ending,2002,16000000,112,6,3415
Hollywood Homicide,2003,75000000,116,5,4802
Hollywood Shuffle,1987,100000,78,6,571
Holy Man,1998,60000000,114,4,3297
Home Alone,1990,15000000,103,6,20363
Home Fries,1998,15000000,91,4,2275
Home Movies,1979,400000,90,4,100
Home on the Range,2004,110000000,76,5,1237
Hong faan kui,1995,7500000,104,6,4424
Honky Tonk Freeway,1981,24000000,107,4,195
Hope Floats,1998,30000000,114,5,4206
Hot Wax Zombies On Wheels,1999,160000,88,2,51
House,1986,3000000,93,5,1556
How High,2001,12000000,93,4,2625
How I Saved the World,2001,40000,18,7,6
How the Grinch Stole Christmas,2000,123000000,104,5,11910
How to Steal a Million,1966,6000000,123,7,1539
Howard the Duck,1986,30000000,110,3,6322
Hsi yen,1993,1000000,106,7,2225
Hudson Hawk,1991,65000000,100,5,8426
Husbands and Wives,1992,20000000,108,7,3422
I Got the Hook Up,1998,3500000,93,3,393
I Heart Huckabees,2004,20000000,106,7,3472
I Spy,2002,70000000,97,5,5121
I Wanna Hold Your Hand,1978,2700000,104,6,503
Ice Age,2002,60000000,81,7,20471
Ice Cream Man,1995,2000000,84,4,326
Igby Goes Down,2002,9000000,97,7,7396
In Person,1935,493000,87,5,42
In the Company of Men,1997,25000,97,7,3480
Incident at Loch Ness,2004,1400000,94,6,106
Indiana Jones and the Temple of Doom,1984,28000000,118,7,32740
Inside Daisy Clover,1965,4500000,128,6,323
Inspector Gadget,1999,75000000,78,4,5019
Intermission,2003,5000000,105,6,1608
Invisible Agent,1942,322000,81,5,61
Invitation to the Wedding,1985,8000000,90,4,5
Irma la Douce,1963,5000000,147,7,1816
Ishtar,1987,40000000,107,3,3374
It Came from Hollywood,1982,5000000,80,5,230
It Happened One Night,1934,325000,105,8,7589
Jabberwocky,1977,500000,105,6,1972
Jack,1996,45000000,113,5,4881
Jack and the Beanstalk,1952,683000,78,5,243
Jack Frost,1998,50000000,101,4,1998
Jackpot,2001,400000,97,4,202
Jakob the Liar,1999,15000000,120,5,2388
Jay and Silent Bob Strike Back,2001,22000000,104,6,22771
Jerry and Tom,1998,5000000,106,6,426
Jerry Maguire,1996,50000000,138,7,33020
Jersey Girl,2004,35000000,102,6,5598
Jimmy Hollywood,1994,20000000,112,5,705
Jingle All the Way,1996,60000000,88,4,5837
Jitterbugs,1943,310600,75,5,68
Jizda,1994,30000,90,7,189
Joe Dirt,2001,16000000,91,5,5092
Joe Somebody,2001,38000000,98,5,1810
Johnson Family Vacation,2004,12000000,97,3,712
Josh Jarman,2004,1300000,96,8,12
Josie and the Pussycats,2001,22000000,98,5,4250
Jui kuen II,1994,2000000,102,7,4355
Jumanji,1995,65000000,104,6,13958
Just Looking,1999,3000000,97,6,411
Just Visiting,2001,40000000,88,5,2061
Kangaroo Jack,2003,60000000,89,3,3396
Keeping the Faith,2000,30000000,128,6,10780
Kicked in the Head,1997,4000000,87,4,255
Killer Klowns from Outer Space,1988,2000000,88,5,2527
Kimberly,1999,2000000,106,5,209
King Kong,1976,24000000,134,5,3039
Kingpin,1996,25000000,113,6,10042
Kismet,1955,2692960,113,5,187
Kissing Jessica Stein,2001,1000000,97,7,4041
Lady and the Tramp,1955,4000000,75,7,6620
Lady Be Good,1941,863460,112,6,75
Lake Placid,1999,27000000,82,5,7411
Las Vegas Weekend,1986,2000000,83,1,8
Last Action Hero,1993,60000000,130,5,14436
Laws of Attraction,2004,28000000,90,5,1904
Legal Eagles,1986,35000000,116,5,2029
Legally Blonde,2001,18000000,96,6,16503
Legion of the Dead,2001,2700000,89,3,360
Leprechaun,1993,1000000,92,3,2178
Less Like Me,2004,30000,112,9,5
Lethal Weapon,1987,15000000,110,7,19027
Liar Liar,1997,45000000,86,6,21642
License to Drive,1988,8000000,88,5,2020
Life,1999,75000000,108,5,4464
Life as a House,2001,18000000,125,7,7220
Life of Brian,1979,4000000,94,8,32381
Like Mike,2002,30000000,99,4,1370
Lilies of the Field,1963,240000,94,7,1302
Little Nicky,2000,80000000,90,4,8741
Little Shop of Horrors,1986,30000000,94,6,8466
Living In Missouri,2001,10000,90,8,14
Living Out Loud,1998,12000000,100,6,1710
Lolita,1962,2000000,152,7,8594
Loser,2000,20000000,98,5,4905
Lost in Alaska,1952,672000,76,5,75
Lost in Translation,2003,4000000,102,8,37968
Love and Death,1975,3000000,85,7,3963
Love and Other Catastrophes,1996,250000,76,6,755
Love Disease,2000,60000,108,8,45
Love in the Afternoon,1957,2100000,130,7,1042
Love Stinks,1999,4000000,94,5,1240
Lover Girl,1997,1000000,87,5,95
Lucky Break,2001,6000000,107,6,660
Lucky Lady,1975,13000000,118,4,216
Lucky Numbers,2000,65000000,105,4,2261
Luminarias,2000,1000000,100,2,372
Madam Satan,1930,980000,105,5,99
Made,2001,5000000,94,6,4240
Maid in Manhattan,2002,55000000,105,4,11263
Major League,1989,11000000,107,6,7610
Mala racha,2001,70000,65,8,6
Male Order,2001,10000,23,8,6
Mallrats,1995,6100000,94,7,21716
Man of La Mancha,1972,12000000,132,5,496
Man on the Moon,1999,52000000,118,7,18688
Manhattan Murder Mystery,1993,13500000,104,7,4807
Mars,2004,2000000,100,5,6
Marty,1955,343000,94,7,1964
MASH,1970,3500000,116,7,14248
Masters of the Universe,1987,17000000,106,4,3098
Matilda,1996,36000000,98,6,4064
Mean Girls,2004,17000000,97,6,9841
Mean People Suck,2003,10000,8,4,45
Meet the Applegates,1991,1000,90,5,444
Meet the Deedles,1998,24000000,93,3,421
Meet the Feebles,1989,750000,94,6,3578
Meet the Fockers,2004,80000000,115,6,5909
Meet the Hollowheads,1989,4800000,86,4,66
Meet the Parents,2000,55000000,108,7,28302
Memoirs of an Invisible Man,1992,40000000,99,5,2854
Men in Black,1997,90000000,98,6,50949
Men in Black II,2002,140000000,88,5,20019
Men of Action,2003,30000,15,8,13
Men with Brooms,2002,7500000,102,5,1033
Metropolitan,1990,430000,98,7,1343
Mickey,1918,125000,93,7,18
Mickey Blue Eyes,1999,40000000,102,5,6850
Midnight Run,1988,30000000,126,7,8720
Mighty Aphrodite,1995,15000000,95,7,6831
Minnie and Moskowitz,1971,900000,114,6,274
Miss Congeniality,2000,45000000,109,6,15093
Miss Pacific Fleet,1935,202798,66,5,9
Miss Supreme Queen,1999,50000,24,5,9
Mix,2004,1000000,97,5,88
Modern Times,1936,1500000,87,8,9763
Modesty Blaise,1966,3000000,119,4,423
Molly,1999,21000000,102,5,558
Mona Lisa Smile,2003,65000000,117,6,6142
Mondo Trasho,1969,2100,95,5,154
Money Talks,1997,25000000,97,5,2545
Money Train,1995,68000000,103,5,4771
Monkeybone,2001,75000000,92,4,2929
Monsieur Verdoux,1947,2000000,124,7,1150
Monte Carlo,1930,726465,90,6,80
Monty Python and the Holy Grail,1975,250000,91,8,58087
Moonshine Mountain,1964,45000,90,1,19
More American Graffiti,1979,3000000,110,4,600
Motel Hell,1980,3000000,102,5,742
Mouse Hunt,1997,38000000,99,5,4396
Moving,2002,9000,94,7,7
Much Ado About Nothing,1993,8000000,111,7,12019
Muertos de risa,1999,3500000,113,6,308
Mujeres al borde de un ataque de nervios,1988,700000,90,7,3718
Mulan,1998,70000000,88,7,10497
Mullet,2001,1000000,89,5,155
Multiple Maniacs,1970,5000,90,6,225
Multiplicity,1996,45000000,117,5,4975
Mumford,1999,28000000,112,6,3268
Muppets From Space,1999,24000000,87,6,2620
Murbah Swamp Beer,2002,3000,7,6,13
Mutant Aliens,2001,200000,81,6,207
My Best Girl,1927,483103,80,7,135
My Big Fat Greek Wedding,2002,5000000,95,7,20575
My Cousin Vinny,1992,11000000,120,7,10362
My Fair Lady,1964,17000000,170,7,12152
My Favorite Martian,1999,60000000,93,4,1827
My Fellow Americans,1996,21500000,101,6,2615
My Girl,1991,16500000,102,6,5213
My Stepmother Is an Alien,1988,16000000,105,4,3894
Myra Breckinridge,1970,5000000,94,3,394
Mystery Men,1999,68000000,121,5,12525
Mystery Train,1989,2800000,113,7,2341
Mystic Pizza,1988,6000000,104,6,3571
Naked,1999,3000,40,5,18
Naken,2000,25000,94,4,393
Napoleon Dynamite,2004,400000,82,7,12019
Navy Blues,1941,1200000,108,7,25
Neighbors,1981,8500000,94,4,1349
Neon Maniacs,1986,1500000,91,3,129
Never Among Friends,2002,7000,78,6,71
New York Stories,1989,15000000,119,6,2545
Next Friday,2000,9500000,98,5,3253
Next Stop Wonderland,1998,1000000,104,6,1380
Nickelodeon,1976,9000000,121,5,274
Nikmato Shel Itzik Finkelstein,1993,500000,83,7,7
Ninotchka,1939,1365000,110,7,2250
No Looking Back,1998,5000000,96,5,592
North,1994,40000000,87,4,2380
North to Alaska,1960,3500000,122,6,722
Not Another Teen Movie,2001,16000000,89,5,9298
Nothing But Trouble,1991,40000000,94,3,3699
Nothing Lasts Forever,1984,3000000,82,6,86
Nothing Sacred,1937,1831927,75,7,486
Notting Hill,1999,42000000,124,7,25763
Novocaine,2001,6000000,95,5,2676
Nurse Betty,2000,24000000,110,6,9983
Ocean Tribe,1997,380000,106,5,54
Office Space,1999,10000000,89,7,23998
Oh My God,2004,3500,10,8,9
Old School,2003,24000000,91,6,12952
On Again Off Again,1937,214000,68,6,7
On the Line,2001,10000000,85,4,962
On the Run,1999,750000,94,6,123
On the Town,1949,2111250,98,7,1757
On Their Knees,2001,250000,85,5,24
Once Bitten,1985,3200000,94,4,1462
One Angry Dwarf,2001,3500,28,8,16
One Hell of a Christmas,2002,400000,94,3,61
One Hundred and One Dalmatians,1961,4000000,79,7,5609
One Hundred Men and a Girl,1937,762000,85,6,95
One Rainy Afternoon,1936,511383,94,5,10
Orange County,2002,18000000,82,6,7938
Orgazmo,1997,1000000,94,5,4663
Osmosis Jones,2001,75000000,95,6,3195
Out Cold,2001,11000000,89,5,1814
Out of Sight,1998,48000000,123,7,18076
Out of the Dark,1989,1600000,89,4,51
Outcasts,2002,20000,88,9,5
Outside Providence,1999,7000000,96,6,2617
Oz,1976,150000,103,2,22
Paint Your Wagon,1969,20000000,166,6,1903
Panama Hattie,1942,1097907,79,6,45
Panic,2000,1000000,88,6,2420
Parents,1989,3000000,81,5,592
Party Monster,2003,5000000,98,5,1725
Patch Adams,1998,50000000,115,6,11474
Pay It Forward,2000,40000000,123,6,12705
PCU,1994,9000000,79,5,2814
Peaches,2000,1400000,84,5,34
Pecker,1998,6000000,87,6,3836
Peggy Sue Got Married,1986,18000000,104,6,5543
Penelope,1966,4000000,97,5,134
Pennies from Heaven,1981,22000000,108,6,1046
Pep Squad,1998,500000,94,4,103
Personal Property,1937,299000,84,5,78
Phantom of the Paradise,1974,1300000,92,6,1852
Picture Perfect,1997,19000000,105,5,2882
Pieces of April,2003,300000,80,7,3976
Pink Flamingos,1972,12000,93,6,1916
Piranha,1978,660000,94,5,1437
Plane Crazy,1928,3528,6,7,54
Play It to the Bone,1999,24000000,124,5,2516
Pleasantville,1998,40000000,124,7,21610
Pocketful of Miracles,1961,2900000,136,7,715
Polish Vampire in Burbank,1985,3000,84,2,77
Pollyanna,1920,300000,58,7,43
Polyester,1981,300000,86,6,1058
Pootie Tang,2001,3000000,70,4,1733
Popeye,1980,20000000,114,4,4605
Possums,1998,1400000,97,5,59
Pretty Woman,1990,14000000,119,6,22078
Primary Colors,1998,65000000,143,6,7385
Private Lessons,1981,2800000,87,4,289
Private Parts,1997,20000000,109,6,8947
Professor Beware,1938,820000,95,7,22
Psycho Beach Party,2000,1500000,95,5,1321
Puddle Cruiser,1996,160000,102,6,129
Pushing Tin,1999,33000000,124,5,7187
Putney Swope,1969,200000,84,6,356
Pygmalion,1938,350000,96,7,838
Quest for Camelot,1998,40000000,86,5,908
Radio City Revels,1938,810000,90,6,12
Radio Days,1987,16000000,85,7,3776
Rain Man,1988,25000000,133,7,40220
Raising Arizona,1987,6000000,94,7,19091
Raising Victor Vargas,2002,800000,88,6,1674
Rare Birds,2001,5000000,99,6,451
Rat Race,2001,48000000,112,6,12952
