title,year,budget,length,rating,votes
Casshern,2004,6000000,141,6,785
Catch Me If You Can,1989,800000,106,4,90
Catch That Kid,2004,18000000,91,4,521
Catwoman,2004,85000000,104,3,7025
Cellular,2004,25000000,94,6,3657
Chain Reaction,1996,55000000,106,5,5610
Chill Factor,1999,34000000,101,5,2430
Circle of Iron,1978,4000000,102,4,345
City on Fire,1979,5300000,104,3,118
Clash of the Titans,1981,15000000,118,6,3641
Clear and Present Danger,1994,65000000,141,6,12470
Cliffhanger,1993,65000000,118,6,11769
Collateral Damage,2002,85000000,108,5,8044
Con Air,1997,75000000,115,6,25206
Conan the Barbarian,1982,20000000,129,6,12887
Congo,1995,50000000,109,4,7751
Conquest of the Planet of the Apes,1972,1700000,88,5,2145
Cotton Comes to Harlem,1970,1200000,97,6,186
Courage Under Fire,1996,46000000,117,6,8515
Crimson Tide,1995,53000000,116,7,13394
Cross of Iron,1977,6000000,133,7,2389
Cutaway,2000,9000000,104,5,359
Cutthroat Island,1995,92000000,119,5,3735
Cyborg,1989,2000000,86,3,2179
Cypher,2002,7500000,95,7,2792
Daredevil,2003,75000000,103,5,20035
Daredevils of the Red Circle,1939,126118,211,7,45
Dark Blue,2002,15000000,118,6,3505
Darkman,1990,16000000,96,6,5821
Dawn of the Dead,1978,1500000,126,7,11652
Dawn of the Dead,2004,28000000,100,7,14107
Daylight,1996,80000000,115,5,6559
Days of Thunder,1990,60000000,107,5,9182
Dead Heat,1988,5000000,86,4,439
Dead Presidents,1995,15000000,119,6,2470
Decay,1998,15000,80,6,8
Deep Blue Sea,1999,78000000,105,5,16766
Deep Rising,1998,45000000,106,5,4364
Demoni,1985,1800000,88,5,1095
Derailed,2002,18000000,89,3,996
Desperado,1995,7000000,106,6,16764
Deuces Wild,2002,10000000,96,5,1431
Devil Dogs of the Air,1935,350000,85,5,40
Diamonds Are Forever,1971,7200000,120,6,8271
Dick Tracy,1990,47000000,103,5,9406
Die Another Day,2002,142000000,133,6,20723
Die Hard,1988,28000000,131,8,56639
Die xue jie tou,1990,3500000,136,7,1695
Diplomatic Siege,1999,45000000,90,3,326
Double Impact,1991,16000000,118,4,2576
Double Take,2001,24000000,88,4,1441
Double Tap,1997,8000000,87,5,179
Dragonslayer,1981,18000000,108,6,1864
Dragstrip Girl,1957,100000,69,4,14
Drive,1997,3500000,100,6,1022
Driven,2001,72000000,116,4,6701
Drop Zone,1994,45000000,101,5,2941
Dune,1984,45000000,137,6,16124
Earthquake,1974,7000000,123,5,1994
Easy Rider,1969,340000,94,7,9527
Edge of Eternity,1959,700000,80,5,43
Eight Legged Freaks,2002,30000000,99,5,5957
Empire,2002,3500000,90,5,1603
End of Days,1999,83000000,121,5,17427
Enemy at the Gates,2001,70000000,131,7,17853
Enemy of the State,1998,90000000,131,7,21975
Enter the Dragon,1973,850000,98,7,7538
Equilibrium,2002,20000000,107,7,15792
Eraser,1996,100000000,115,5,13915
Escape from Chernobourg,1999,2000,75,3,18
Escape from New York,1981,6000000,99,6,9303
Escape from the Planet of the Apes,1971,2500000,98,5,2812
Evil Dead II,1987,3000000,85,7,14773
Excessive Force,1993,13000000,90,4,200
Executive Decision,1996,55000000,134,6,7275
Exit Wounds,2001,33000000,101,5,5033
Exodus,1960,4000000,208,6,1061
Extreme Ops,2002,40000000,93,3,1239
Facade,2000,6000000,93,4,89
Fair Game,1995,50000000,91,3,2442
Fair Wind to Java,1953,1250000,92,5,41
Fall,2000,2000000,97,1,240
Feng yun xiong ba tian xia,1998,10000000,128,6,873
Fighting Mad,1976,600000,90,5,54
Final Solution,2001,1500000,110,7,30
Firestorm,1998,19000000,89,4,920
First Blood,1982,14000000,97,6,11059
Flash Gordon,1980,35000000,111,5,5334
Flight of the Phoenix,2004,45000000,113,6,742
For Your Eyes Only,1981,28000000,127,6,7633
Fortress,1993,12000000,95,5,2421
Fritz the Cat,1972,1000000,78,5,1046
From Dusk Till Dawn,1996,20000000,108,6,26857
From Russia with Love,1963,2000000,115,7,9752
Full Clip,2004,500000,95,4,55
Get Carter,2000,40000000,102,4,4611
Ghosts of Mars,2001,28000000,98,4,5993
Gladiator,2000,103000000,155,8,87106
Glory,1989,18000000,122,8,20894
Gods and Generals,2003,56000000,231,5,2796
Godzilla,1998,125000000,140,4,21735
Gojira,1954,1000000,98,6,1022
GoldenEye,1995,80000000,130,6,21772
Goldfinger,1964,3000000,112,7,18889
Gone in Sixty Seconds,2000,90000000,117,5,23940
Grand Theft Auto,1977,602000,84,5,239
Gremlins,1984,11000000,106,6,14245
Half Past Dead,2002,30000000,98,3,1924
Hard Rain,1998,70000000,97,5,5819
Hardware,1990,1500000,93,5,1263
Heart of the North,1938,400000,83,5,10
Heavy Metal,1981,9300000,86,6,4386
Hellboy,2004,66000000,122,6,13424
Henry V,1989,9000000,137,7,7971
Hidalgo,2004,78000000,136,6,6388
Hidden Assassin,1995,11000000,104,4,234
Highlander,1986,16000000,116,7,17370
Hit List,1989,1500000,87,5,55
Hollywood Homicide,2003,75000000,116,5,4802
Hong faan kui,1995,7500000,104,6,4424
Honky Tonk Freeway,1981,24000000,107,4,195
House of the Dead,2003,7000000,90,2,3314
Howard the Duck,1986,30000000,110,3,6322
Hud,1963,2500000,112,7,2312
Hudson Hawk,1991,65000000,100,5,8426
I Cover the War,1937,70000,68,4,16
I Spy,2002,70000000,97,5,5121
Impostor,2002,40000000,95,5,3067
In Old Chicago,1937,1800000,96,7,138
In the Line of Fire,1993,40000000,128,7,12348
Independence Day,1996,75000000,145,6,59097
Indiana Jones and the Last Crusade,1989,48000000,127,8,59377
Indiana Jones and the Temple of Doom,1984,28000000,118,7,32740
Inspector Gadget,1999,75000000,78,4,5019
Jack of Diamonds,2001,1500000,84,1,6
Jade,1995,50000000,95,4,2279
Jason and the Argonauts,1963,1000000,104,7,2262
Jason X,2001,14000000,93,4,5557
Jing wu men,1972,100000,110,6,1508
Jingle All the Way,1996,60000000,88,4,5837
Judge Dredd,1995,90000000,96,4,9431
Jui kuen II,1994,2000000,102,7,4355
Jumanji,1995,65000000,104,6,13958
Jurassic Park,1993,63000000,127,7,54601
Jurassic Park III,2001,93000000,92,5,19438
Killers,1997,100000,86,2,125
King Arthur,2004,90000000,126,5,11683
Kiss of the Dragon,2001,25000000,98,6,7467
Knock Off,1998,35000000,91,3,1855
Lake Placid,1999,27000000,82,5,7411
Lashou shentan,1992,4500000,126,7,6195
Last Action Hero,1993,60000000,130,5,14436
Last Man Standing,1996,67000000,101,5,6330
Legionnaire,1998,35000000,98,4,1645
Lethal Weapon,1987,15000000,110,7,19027
Libera me,2000,4000000,119,6,54
Licence to Kill,1989,40000000,133,6,8007
Lionheart,1990,2500000,105,5,1976
Liquid Lips,1976,12000,73,6,10
Live and Let Die,1973,7000000,121,6,7582
Lone Wolf McQuade,1983,5000000,105,5,674
Lost in Space,1998,80000000,130,4,14637
Macon County Line,1974,225000,89,6,121
Mad Max,1979,350000,93,6,10861
Malibu Express,1985,500000,105,3,142
Man on Fire,2004,70000000,146,7,10553
Maniac Cop,1988,1100000,85,5,646
Mars,1998,4500000,91,3,144
Masters of the Universe,1987,17000000,106,4,3098
Megaforce,1982,20000000,99,2,537
Men in Black,1997,90000000,98,6,50949
Men in Black II,2002,140000000,88,5,20019
Men of Action,2003,30000,15,8,13
Men of War,1994,12000000,103,4,351
Menace II Society,1993,3500000,97,7,4403
Meng long guojiang,1972,130000,100,6,1612
Mercury Rising,1998,60000000,108,5,7838
Mercy Streets,2000,600000,106,4,145
Metoroporisu,2001,14500000,108,7,3126
Metro,1997,55000000,117,5,3330
Midnight Run,1988,30000000,126,7,8720
Minority Report,2002,102000000,145,7,48173
Money Talks,1997,25000000,97,5,2545
Money Train,1995,68000000,103,5,4771
Montana,1998,4000000,96,5,404
Moonraker,1979,34000000,126,5,8834
Mortal Kombat,1995,20000000,101,5,8277
Mouse Hunt,1997,38000000,99,5,4396
Musa,2001,60000000,158,7,1488
My Samurai,1992,700000,87,3,18
Mystery Men,1999,68000000,121,5,12525
National Treasure,2004,100000000,131,6,8168
Natural Born Killers,1994,50000000,118,6,24168
Netto Perde Sua Alma,2001,1300000,102,6,29
Never Say Never Again,1983,36000000,134,6,7137
New Jack City,1991,8500000,97,6,3162
Night Train to Mundo Fine,1966,30000,89,2,1027
Octopussy,1983,27500000,131,6,7880
Odinokij igrok,1995,400000,90,6,5
Outbreak,1995,50000000,127,6,13089
Outland,1981,16000000,109,6,3373
Patriot Games,1992,45000000,117,6,12154
Paycheck,2003,60000000,119,6,9367
Pearl Harbor,2001,135250000,183,5,31493
Per un pugno di dollari,1964,200000,99,7,8055
Perfect Target,1997,3500000,89,4,51
Peter Pan,2003,100000000,113,7,5039
Planet of the Apes,1968,5800000,112,7,19691
Planet of the Apes,2001,100000000,119,5,27147
Platoon,1986,6000000,120,8,33199
Point Blank,1967,3000000,92,7,1561
Point Break,1991,24000000,122,6,10522
Polymorph,1996,10000,86,5,19
Pootie Tang,2001,3000000,70,4,1733
Predator,1987,18000000,107,7,23535
Proof of Life,2000,65000000,135,6,9053
Raiders of the Lost Ark,1981,20000000,115,8,90052
Raise the Titanic,1980,36000000,115,4,568
Rambo III,1988,65000000,101,4,7160
Ran,1985,11500000,160,8,11273
Ransom,1996,80000000,121,6,16914
Rapa Nui,1994,20000000,107,5,712
Reap the Wild Wind,1942,4000000,123,6,325
Red Planet,2000,75000000,106,5,8164
Red Scorpion,1989,16000000,105,3,648
Red Sonja,1985,17900000,89,4,3694
Reign of Fire,2002,95000000,101,5,10765
Reindeer Games,2000,36000000,104,5,6764
Resident Evil,2002,35000000,100,6,17508
Revelation,1999,5000000,98,4,191
Riders,2002,15000000,83,5,839
Rob Roy,1995,28000000,139,6,6318
RoboCop,1987,13000000,102,7,15148
Rocky IV,1985,31000000,91,5,10591
Romeo Must Die,2000,25000000,115,5,9687
Ronin,1998,55000000,121,7,20794
Rosewood,1997,31000000,140,6,1767
Rush Hour,1998,35000000,97,6,17350
Sally and Angela,2001,5000,12,6,13
Sands of Iwo Jima,1949,1000000,100,7,1155
Sara,1997,835000,110,6,165
Saving Private Ryan,1998,70000000,170,8,95227
Set It Off,1996,9000000,123,6,1523
Shadow Conspiracy,1997,45000000,103,4,1019
Shaft,1971,1125000,100,6,2798
Shaft,2000,46000000,99,6,13105
Shanghai Knights,2003,50000000,114,6,6753
Shanghai Noon,2000,55000000,110,6,11613
Shanghai Surprise,1986,17000000,97,2,805
Sheena,1984,25000000,117,3,583
Shichinin no samurai,1954,500000,160,8,29687
Showtime,2002,85000000,95,5,7092
Silmido,2003,8000000,135,7,313
Silverado,1985,26000000,127,7,5751
Sinnui yauman,1987,5600000,98,7,1507
Six Days Seven Nights,1998,70000000,101,5,10697
Skeletons,1996,2200000,87,5,113
Sky Captain and the World of Tomorrow,2004,40000000,106,6,9192
Small Soldiers,1998,40000000,108,5,6521
Snitch,1998,11000000,93,5,392
Soldier,1998,75000000,98,5,5294
Soul Assassin,2001,7000000,96,3,356
Spartacus,1960,12000000,184,8,16133
Spawn,1997,40000000,96,4,7139
Species,1995,35000000,108,5,8534
Speed,1994,28000000,116,7,31458
Speedway,1968,1500000,94,4,215
Split Second,1992,7000000,90,5,1047
Spy Game,2001,92000000,126,7,15664
Spy Hard,1996,18000000,81,4,4418
Spy Kids,2001,35000000,88,6,6987
Stacey,1973,100000,81,6,10
Stag,1997,3000000,91,5,278
Stagecoach,1939,531300,96,8,5387
Star Wars,1977,11000000,121,8,128934
Stargate,1994,55000000,121,6,16637
Starship Troopers,1997,95000000,129,6,31229
Steamboy,2004,20000000,126,6,132
Steel,1997,16000000,97,2,1540
Strange Days,1995,42000000,145,6,11462
Streets of Fire,1984,14500000,93,6,1758
Submarine,1928,150000,93,6,17
Summer of Sam,1999,22000000,142,6,7773
Supergirl,1984,35000000,124,4,3347
Superman,1978,55000000,143,7,17286
Superman II,1980,54000000,127,6,10458
Supervixens,1975,250000,106,6,476
Sweepers,1999,12500000,96,3,260
Swiri,1999,5000000,125,6,1558
Switchback,1997,38000000,118,6,2073
Switchblade Sisters,1975,320000,91,5,384
Swordfish,2001,80000000,99,6,19141
Tales from the Hood,1995,6000000,98,5,492
Tang shan da xiong,1971,100000,115,6,1324
Tank Girl,1995,25000000,104,4,4130
Taras Bulba,1962,7000000,124,5,383
Tarzan and His Mate,1934,1279000,104,7,406
Tarzan and the Mermaids,1948,1000000,68,5,99
Tears of the Sun,2003,70000000,121,6,7727
Teenage Mutant Ninja Turtles,1990,13500000,93,5,6426
Ten to Chi to,1990,42000000,215,6,229
They Live,1988,4000000,93,6,4787
Three Fugitives,1989,15000000,90,5,1588
Three Kings,1999,48000000,114,7,30056
Thunder Afloat,1939,1000000,95,5,15
Thunderball,1965,9000000,130,6,7765
Thunderbirds,2004,57000000,95,4,1217
Thunderbolt and Lightfoot,1974,4000000,114,6,1836
Tomorrow Never Dies,1997,110000000,119,6,18506
Top Dog,1995,6000000,86,3,320
Top Gun,1986,15000000,110,6,30736
Torque,2004,40000000,81,3,3566
Total Recall,1990,65000000,113,7,25130
Trancers,1985,400000,76,6,483
Tron,1982,17000000,96,6,8684
Troy,2004,185000000,163,7,29457
True Lies,1994,100000000,144,7,29591
Turkey Shoot,1981,3200000,93,4,147
Turn It Up,2000,9000000,86,4,120
Twister,1996,92000000,113,5,27172
Uncivilized,1994,1000000,91,4,18
Under Siege,1992,12000000,103,6,8912
Undercover Brother,2002,25000000,86,6,4832
Une chance sur deux,1998,32000000,110,5,455
Universal Soldier,1992,23000000,99,5,5367
Unstoppable,2004,15000000,96,4,446
Vampires,1998,20000000,108,5,7566
Van Helsing,2004,160000000,132,5,17632
Vertical Limit,2000,75000000,124,5,9714
Virtuosity,1995,30000000,106,5,3962
Volcano,1997,90000000,104,5,8142
Wake of the Red Witch,1948,1200343,106,6,254
Walker,1987,5800000,95,4,280
Walking Tall,1973,500000,125,6,565
Warlock,1989,7000000,103,5,1740
Waterworld,1995,175000000,136,5,18379
We Were Soldiers,2002,75000000,138,7,13713
Wild Wild West,1999,170000000,107,4,17936
Willow,1988,35000000,130,6,9830
Windtalkers,2002,115000000,134,5,8461
Wing Commander,1999,30000000,100,3,4642
Wings,1927,800000,139,7,750
Wo hu cang long,2000,15000000,120,8,49871
xXx,2002,85000000,124,5,17061
You Only Live Twice,1967,9500000,117,6,7795
Young Guns,1988,13000000,102,6,7640
Zombies of the Stratosphere,1952,176357,167,4,47
Zvezda,2002,1300000,97,7,147
